file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_1800,my_words_over_2200,opp_score,opp_words,opp_words_over_800,opp_words_over_1400,opp_words_over_1800,opp_words_over_2200,notes,score_diff,words_diff,words_over_800_diff,words_over_1400_diff,words_over_1800_diff,words_over_2200_diff,total_score,total_words,my_avg_word_value,opp_avg_word_value,total_avg_word_value,avg_word_value_diff,game_idx,my_hv_rate,opp_hv_rate,hv_rate_diff,my_words_over_1400_rate,opp_words_over_1400_rate,words_over_1400_rate_diff,opp_tier
IMG_5712.PNG,0,11200,27,7,1,0,0,16400,33,11,3,0,0,,-5200,-6,-4,-2,0,0,27600,60,414.81,496.97,460.0,-82.16,1,0.2593,0.3333,-0.074,0.037037037037037035,0.09090909090909091,-0.05387205387205388,strong opponent
IMG_5713.PNG,1,7300,26,2,0,0,0,6300,26,1,0,0,0,,1000,0,1,0,0,0,13600,52,280.77,242.31,261.54,38.46,2,0.0769,0.0385,0.0384,0.0,0.0,0.0,weak opponent
IMG_5714.PNG,0,4800,20,1,0,0,0,8000,26,3,0,0,0,,-3200,-6,-2,0,0,0,12800,46,240.0,307.69,278.26,-67.69,3,0.05,0.1154,-0.0654,0.0,0.0,0.0,mid opponent
IMG_5715.PNG,0,9200,32,3,0,0,0,12600,37,5,0,0,0,,-3400,-5,-2,0,0,0,21800,69,287.5,340.54,315.94,-53.04,4,0.0938,0.1351,-0.0413,0.0,0.0,0.0,mid opponent
IMG_5716.PNG,0,14800,41,8,0,0,0,16200,43,8,1,0,0,,-1400,-2,0,-1,0,0,31000,84,360.98,376.74,369.05,-15.76,5,0.1951,0.186,0.0091,0.0,0.023255813953488372,-0.023255813953488372,strong opponent
IMG_5717.PNG,0,15900,48,6,0,0,0,23900,48,15,0,0,0,opp_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (33 more hidden),-8000,0,-9,0,0,0,39800,96,331.25,497.92,414.58,-166.67,6,0.125,0.3125,-0.1875,0.0,0.0,0.0,strong opponent
IMG_5718.PNG,0,7600,31,0,0,0,0,8100,27,3,0,0,0,,-500,4,-3,0,0,0,15700,58,245.16,300.0,270.69,-54.84,7,0.0,0.1111,-0.1111,0.0,0.0,0.0,mid opponent
IMG_5719.PNG,0,8200,40,0,0,0,0,11400,33,6,1,0,0,,-3200,7,-6,-1,0,0,19600,73,205.0,345.45,268.49,-140.45,8,0.0,0.1818,-0.1818,0.0,0.030303030303030304,-0.030303030303030304,mid opponent
IMG_5720.PNG,0,2400,15,0,0,0,0,3100,16,0,0,0,0,,-700,-1,0,0,0,0,5500,31,160.0,193.75,177.42,-33.75,9,0.0,0.0,0.0,0.0,0.0,0.0,weak opponent
IMG_5721.PNG,0,7100,29,0,0,0,0,8800,32,2,0,0,0,,-1700,-3,-2,0,0,0,15900,61,244.83,275.0,260.66,-30.17,10,0.0,0.0625,-0.0625,0.0,0.0,0.0,weak opponent
IMG_5722.PNG,0,10700,44,3,0,0,0,13500,33,9,2,0,0,,-2800,11,-6,-2,0,0,24200,77,243.18,409.09,314.29,-165.91,11,0.0682,0.2727,-0.2045,0.0,0.06060606060606061,-0.06060606060606061,strong opponent
IMG_5723.PNG,1,14100,34,8,1,0,0,12100,38,5,0,0,0,,2000,-4,3,1,0,0,26200,72,414.71,318.42,363.89,96.29,12,0.2353,0.1316,0.1037,0.029411764705882353,0.0,0.029411764705882353,mid opponent
IMG_5724.PNG,0,6200,32,0,0,0,0,7500,28,2,0,0,0,,-1300,4,-2,0,0,0,13700,60,193.75,267.86,228.33,-74.11,13,0.0,0.0714,-0.0714,0.0,0.0,0.0,weak opponent
IMG_5725.PNG,1,7300,32,2,0,0,0,4500,26,1,0,0,0,,2800,6,1,0,0,0,11800,58,228.12,173.08,203.45,55.04,14,0.0625,0.0385,0.024,0.0,0.0,0.0,weak opponent
IMG_5726.PNG,0,7200,26,1,0,0,0,13300,37,9,0,0,0,,-6100,-11,-8,0,0,0,20500,63,276.92,359.46,325.4,-82.54,15,0.0385,0.2432,-0.2047,0.0,0.0,0.0,mid opponent
IMG_5727.PNG,0,16200,39,9,1,0,0,23200,41,15,6,0,0,opp_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (26 more hidden),-7000,-2,-6,-5,0,0,39400,80,415.38,565.85,492.5,-150.47,16,0.2308,0.3659,-0.1351,0.02564102564102564,0.14634146341463414,-0.1207004377736085,strong opponent
