file,my_won,my_score,my_words,my_words_over_800,my_words_over_1400,my_words_over_2200,opp_score,opp_words,opp_words_over_800,opp_words_over_1400,opp_words_over_2200,notes
IMG_5712.PNG,0,11200,27,7,1,0,16400,33,11,3,0,
IMG_5713.PNG,1,7300,26,2,0,0,6300,26,1,0,0,
IMG_5714.PNG,0,4800,20,1,0,0,8000,26,3,0,0,
IMG_5715.PNG,0,9200,32,3,0,0,12600,37,5,0,0,
IMG_5716.PNG,0,14800,41,8,0,0,16200,43,8,1,0,
IMG_5717.PNG,0,15900,48,6,0,0,23900,48,15,0,0,"opp_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (33 more hidden)"
IMG_5718.PNG,0,7600,31,0,0,0,8100,27,3,0,0,
IMG_5719.PNG,0,8200,40,0,0,0,11400,33,6,1,0,
IMG_5720.PNG,0,2400,15,0,0,0,3100,16,0,0,0,
IMG_5721.PNG,0,7100,29,0,0,0,8800,32,2,0,0,
IMG_5722.PNG,0,10700,44,3,0,0,13500,33,9,2,0,
IMG_5723.PNG,1,14100,34,8,1,0,12100,38,5,0,0,
IMG_5724.PNG,0,6200,32,0,0,0,7500,28,2,0,0,
IMG_5725.PNG,1,7300,32,2,0,0,4500,26,1,0,0,
IMG_5726.PNG,0,7200,26,1,0,0,13300,37,9,0,0,
IMG_5727.PNG,0,16200,39,9,1,0,23200,41,15,6,0,"opp_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (26 more hidden)"
IMG_5728.PNG,1,15800,37,10,1,0,11400,31,4,1,0,
IMG_5729.PNG,1,8700,31,2,0,0,6500,25,1,0,0,
IMG_5730.PNG,0,5500,17,2,1,0,13700,31,7,4,0,
IMG_5731.PNG,1,17600,44,8,2,0,16200,35,10,2,0,
IMG_5732.PNG,0,7900,33,1,0,0,10200,31,2,1,0,
IMG_5733.PNG,0,19000,41,14,1,0,19400,33,13,6,0,
IMG_5734.PNG,1,10400,32,3,3,0,5200,27,1,0,0,
IMG_5735.PNG,1,14100,36,6,2,0,12200,39,5,0,0,
IMG_5736.PNG,0,10800,41,1,0,0,12000,34,5,0,0,
IMG_5737.PNG,1,10300,46,0,0,0,7400,37,1,0,0,
IMG_5738.PNG,0,3400,19,0,0,0,7100,26,3,0,0,
IMG_5739.PNG,0,11000,34,4,0,0,12200,29,6,1,0,
IMG_5740.PNG,1,13600,43,3,0,0,10100,30,2,0,0,
IMG_5741.PNG,0,8200,31,3,0,0,11300,33,5,1,0,
IMG_5742.PNG,0,8500,28,3,0,0,12300,34,5,2,0,
IMG_5743.PNG,1,13300,44,5,0,0,10100,39,2,0,0,
IMG_5744.PNG,0,5700,26,1,0,0,7500,24,3,1,0,
IMG_5745.PNG,1,6900,32,1,0,0,5500,25,0,0,0,
IMG_5746.PNG,1,16800,34,11,3,0,16600,28,11,4,0,
IMG_5747.PNG,1,8700,42,0,0,0,7500,35,1,0,0,
IMG_5748.PNG,1,11000,38,3,0,0,8400,30,3,0,0,
IMG_5749.PNG,1,14300,36,8,1,0,13200,39,6,0,0,
IMG_5750.PNG,1,8100,35,1,0,0,4500,20,1,0,0,
IMG_5751.PNG,1,10900,38,2,0,0,8600,32,0,0,0,
IMG_5752.PNG,0,14400,37,8,1,0,20100,35,13,4,1,
IMG_5753.PNG,1,10500,36,3,2,0,7600,31,0,0,0,
IMG_5754.PNG,0,7500,28,2,0,0,17500,38,11,4,0,
IMG_5755.PNG,0,11600,31,7,1,0,13100,36,8,0,0,
IMG_5756.PNG,0,11100,34,5,0,0,16300,38,11,2,0,
IMG_5757.PNG,0,7200,28,2,0,0,7900,27,4,0,0,
IMG_5758.PNG,1,24000,57,15,1,0,15500,43,7,0,0,"my_words_over_800 is a lower bound; visible 15-word list never drops below 800 before truncation (42 more hidden)"
IMG_5759.PNG,0,9600,30,3,1,0,10200,30,3,1,0,
IMG_5760.PNG,0,10900,32,5,1,0,15300,42,6,2,0,
IMG_5761.PNG,1,12800,40,4,1,0,11700,40,2,0,0,
IMG_5762.PNG,0,5000,31,1,0,0,6200,30,2,0,0,
IMG_5763.PNG,1,16900,56,5,0,0,13500,34,8,1,0,
IMG_5764.PNG,0,7000,34,0,0,0,9400,40,0,0,0,
IMG_5765.PNG,1,22100,59,12,0,0,13600,43,6,2,0,
IMG_5766.PNG,0,6100,25,0,0,0,9300,31,2,0,0,
IMG_5767.PNG,1,11100,43,2,0,0,10400,34,4,0,0,
IMG_5768.PNG,0,8700,37,2,0,0,10600,41,2,0,0,
IMG_5769.PNG,0,14700,36,9,0,0,16100,34,13,0,0,
IMG_5770.PNG,0,8300,33,2,0,0,10000,35,2,0,0,
IMG_5771.PNG,0,10600,35,2,0,0,13000,35,5,2,0,
IMG_5772.PNG,1,11300,40,4,0,0,9500,33,2,1,0,
IMG_5773.PNG,1,6200,23,3,0,0,4200,17,1,0,0,
IMG_5774.PNG,1,11500,32,5,0,0,9600,31,2,1,0,
